Student_ID,Age,Gender,Parental_Education,Study_Hours_per_Week,Attendance_Rate,G1,G2,Test_Preparation,G3
S001,15,Male,Master's,6,77,87,89,Not Completed,78
S002,15,Female,High School,6,51,51,93,Completed,63
S003,18,Male,High School,27,62,86,76,Completed,73
S004,16,Female,High School,20,84,79,86,Not Completed,76
S005,17,Male,Some College,7,74,61,88,Completed,67
S006,18,Male,Some College,22,91,81,93,Not Completed,80
S007,16,Female,Master's,5,68,86,97,Completed,80
S008,15,Male,High School,17,90,73,55,Not Completed,61
S009,17,Male,Bachelor's,8,94,68,89,Not Completed,73
S010,18,Male,High School,29,68,63,62,Completed,59
S011,16,Female,High School,24,81,85,53,Completed,65
S012,15,Male,High School,19,58,83,65,Not Completed,66
S013,16,Male,High School,22,84,81,94,Completed,80
S014,15,Male,Some College,12,62,89,56,Completed,65
S015,18,Male,Master's,14,96,69,53,Not Completed,59
S016,17,Female,Some College,20,95,66,50,Completed,57
S017,17,Male,Master's,28,73,85,93,Not Completed,81
S018,17,Female,Some College,20,96,54,68,Not Completed,60
S019,16,Male,High School,17,74,94,80,Not Completed,78
S020,17,Male,Bachelor's,27,77,52,77,Completed,62
S021,18,Female,Master's,6,85,53,63,Not Completed,55
S022,17,Female,Master's,6,81,84,68,Completed,69
S023,18,Female,Master's,25,50,50,62,Completed,52
S024,17,Male,Bachelor's,13,61,87,94,Not Completed,79
S025,16,Female,Master's,26,63,55,84,Completed,64
S026,16,Male,High School,10,84,68,65,Completed,62
S027,16,Female,Master's,24,64,50,60,Completed,52
S028,17,Female,Master's,8,82,78,54,Not Completed,61
S029,15,Male,Bachelor's,23,74,52,98,Not Completed,69
S030,15,Female,Some College,5,96,59,97,Completed,72
S031,18,Female,Some College,10,69,56,56,Completed,52
S032,18,Male,Some College,10,62,74,81,Not Completed,69
S033,17,Male,Master's,12,72,92,78,Completed,76
S034,15,Female,High School,8,88,80,80,Not Completed,73
S035,17,Male,Some College,7,69,68,83,Not Completed,68
S036,16,Female,High School,17,72,95,84,Not Completed,80
S037,16,Male,Some College,17,96,60,98,Not Completed,74
S038,15,Female,Master's,27,90,51,56,Completed,54
S039,18,Male,Bachelor's,20,81,86,57,Completed,67
S040,15,Female,Master's,26,52,65,68,Not Completed,61
S041,16,Female,Master's,13,91,99,68,Completed,77
S042,17,Male,Bachelor's,10,53,52,83,Not Completed,60
S043,17,Female,Master's,14,97,81,50,Not Completed,63
S044,18,Female,High School,6,73,87,79,Not Completed,74
S045,15,Male,Master's,26,92,70,83,Completed,73
S046,15,Male,Master's,14,81,73,69,Not Completed,66
S047,18,Female,Master's,9,96,80,67,Not Completed,69
S048,15,Female,High School,5,95,90,90,Not Completed,82
S049,16,Female,Master's,15,68,76,52,Completed,59
S050,18,Female,Bachelor's,9,89,71,83,Completed,71
S051,18,Male,High School,25,71,69,75,Completed,67
S052,18,Female,Master's,12,79,90,57,Not Completed,67
S053,16,Male,Master's,12,74,87,76,Completed,73
S054,18,Male,High School,24,91,64,81,Not Completed,69
S055,16,Male,Master's,22,92,66,83,Completed,71
S056,18,Male,Bachelor's,9,83,99,66,Not Completed,75
S057,17,Male,High School,5,74,57,80,Completed,62
S058,18,Male,Bachelor's,24,56,60,52,Not Completed,52
S059,17,Female,Master's,16,66,60,89,Not Completed,67
S060,18,Male,High School,27,83,84,95,Completed,82
S061,15,Male,Some College,20,94,86,97,Completed,84
S062,17,Male,Some College,25,81,99,75,Completed,80
S063,18,Female,High School,24,84,58,90,Completed,70
S064,18,Female,High School,5,99,64,55,Not Completed,58
S065,17,Male,Some College,20,68,84,71,Completed,70
S066,18,Male,Some College,12,76,64,74,Completed,64
S067,17,Male,Bachelor's,20,51,73,64,Completed,61
S068,18,Male,Some College,9,66,96,99,Completed,85
S069,18,Female,Master's,22,63,59,80,Completed,64
S070,15,Female,High School,27,75,78,88,Not Completed,76
S071,17,Female,Some College,19,70,72,81,Not Completed,70
S072,15,Female,Some College,28,58,98,96,Not Completed,86
S073,18,Male,Bachelor's,28,57,95,85,Completed,80
S074,15,Female,Some College,11,98,55,80,Not Completed,64
S075,18,Female,Master's,11,71,50,53,Not Completed,50
S076,18,Female,Bachelor's,29,65,61,58,Not Completed,57
S077,17,Male,Some College,20,65,86,66,Completed,69
S078,16,Male,Master's,11,61,63,58,Completed,55
S079,17,Male,Some College,11,71,97,66,Completed,73
S080,16,Female,Master's,22,62,78,68,Not Completed,66
S081,15,Male,High School,13,84,85,99,Not Completed,83
S082,17,Female,Master's,21,68,96,96,Completed,85
S083,17,Female,Some College,14,56,57,75,Not Completed,59
S084,15,Female,Some College,29,54,88,76,Completed,73
S085,18,Male,Bachelor's,17,93,91,87,Not Completed,82
S086,17,Male,Master's,5,54,50,94,Not Completed,63
S087,17,Male,Some College,26,78,93,92,Completed,84
S088,15,Female,Some College,9,81,79,84,Not Completed,74
S089,15,Female,Master's,27,63,86,60,Completed,67
S090,16,Male,Master's,15,62,60,91,Completed,68
S091,16,Male,Bachelor's,29,65,69,73,Not Completed,66
S092,15,Male,High School,10,60,70,56,Not Completed,57
S093,15,Female,Some College,11,62,95,73,Not Completed,74
S094,15,Male,Some College,19,58,86,65,Completed,68
S095,17,Female,High School,9,63,60,70,Completed,59
S096,18,Male,High School,6,56,99,88,Not Completed,81
S097,16,Male,Bachelor's,28,57,51,90,Completed,64
S098,15,Female,Master's,20,92,50,97,Not Completed,70
S099,16,Female,Master's,22,97,64,83,Not Completed,70
S100,15,Male,High School,6,52,50,80,Not Completed,57
